Ticker,RS,1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago,9 Months Ago,Rating (RS),Rating (1M),Rating (3M),Rating (6M),Rating (9M),Price,52W pos,MA10,MA30,Volume / VMA10
APA,,,,,,,,,,,,,,,,
APAM,,,,,,,,,,,,46.35,0.97,44.19,41.74,
APD,,,,,,,,,,,,,,,,
APDN,,,,,,,,,,,,5.04,0.0,7.35,192.75,
APEI,,,,,,,,,,,,,,,,
APG,,,,,,,,,,,,34.77,1.0,33.02,29.05,
APGE,,,,,,,,,,,,,,,,
APH,,,,,,,,,,,,,,,,
API,,,,,,,,,,,,,,,,
APLD,,,,,,,,,,,,,,,,
APLE,,,,,,,,,,,,12.34,0.27,12.0,12.53,
APLM,,,,,,,,,,,,6.21,0.0,6.09,8.87,
APLS,,,,,,,,,,,,,,,,
APLT,,,,,,,,,,,,0.46,0.01,0.4,1.05,
APM,,,,,,,,,,,,,,,,
APO,,,,,,,,,,,,152.0,0.75,142.18,140.03,
APOG,,,,,,,,,,,,41.97,0.09,41.51,46.45,
APP,,,,,,,,,,,,,,,,
APPF,,,,,,,,,,,,,,,,
APPN,,,,,,,,,,,,,,,,
APPS,,,,,,,,,,,,5.37,0.43,5.19,4.18,
APRE,,,,,,,,,,,,1.66,0.02,1.73,2.2,
APT,,,,,,,,,,,,4.75,0.32,4.71,4.87,
APTV,,,,,,,,,,,,68.2,0.33,67.76,64.89,
APUS,,,,,,,,,,,,1.77,0.25,1.81,1.98,
APVO,,,,,,,,,,,,,,,,
APWC,,,,,,,,,,,,,,,,
APYX,,,,,,,,,,,,2.26,0.27,1.97,1.62,
AQB,,,,,,,,,,,,,,,,
AQMS,,,,,,,,,,,,,,,,
AQN,,,,,,,,,,,,5.93,0.53,5.75,5.39,
AQST,,,,,,,,,,,,4.2,0.6,3.56,3.31,
AR,,,,,,,,,,,,36.31,0.67,38.19,37.02,
ARAI,,,,,,,,,,,,9.25,0.56,9.21,9.41,
ARAY,,,,,,,,,,,,1.34,0.04,1.38,1.6,
ARBB,,,,,,,,,,,,,,,,
ARBE,,,,,,,,,,,,1.51,0.2,1.59,1.68,
ARBK,,,,,,,,,,,,,,,,
ARCB,,,,,,,,,,,,78.54,0.22,74.57,77.2,
ARCC,,,,,,,,,,,,23.21,1.0,22.15,21.34,
ARCO,,,,,,,,,,,,,,,,
ARCT,,,,,,,,,,,,,,,,
ARDT,,,,,,,,,,,,,,,,
ARDX,,,,,,,,,,,,4.41,0.17,4.13,4.54,
ARE,,,,,,,,,,,,78.17,0.22,75.05,81.85,
AREB,,,,,,,,,,,,,,,,
AREC,,,,,,,,,,,,,,,,
AREN,,,,,,,,,,,,,,,,
ARES,,,,,,,,,,,,,,,,
ARGX,,,,,,,,,,,,564.59,0.69,564.82,577.93,
ARHS,,,,,,,,,,,,,,,,
ARI,,,,,,,,,,,,9.72,0.82,9.62,9.25,
ARIS,,,,,,,,,,,,,,,,
ARKO,,,,,,,,,,,,,,,,
ARKR,,,,,,,,,,,,8.99,0.07,9.46,10.39,
ARL,,,,,,,,,,,,,,,,
ARLO,,,,,,,,,,,,,,,,
ARLP,,,,,,,,,,,,,,,,
ARM,,,,,,,,,,,,,,,,
ARMK,,,,,,,,,,,,,,,,
ARMN,,,,,,,,,,,,,,,,
ARMP,,,,,,,,,,,,,,,,
AROC,,,,,,,,,,,,,,,,
AROW,,,,,,,,,,,,26.75,0.64,26.47,26.26,
ARQ,,,,,,,,,,,,,,,,
ARQQ,,,,,,,,,,,,42.36,0.99,33.29,24.37,
ARQT,,,,,,,,,,,,,,,,
ARR,,,,,,,,,,,,,,,,
ARRY,,,,,,,,,,,,,,,,
ARTL,,,,,,,,,,,,14.95,0.53,11.62,8.33,
ARTNA,,,,,,,,,,,,,,,,
ARTV,,,,,,,,,,,,2.39,0.06,2.03,3.85,
ARTW,,,,,,,,,,,,,,,,
ARVN,,,,,,,,,,,,7.35,0.02,7.63,11.27,
ARW,,,,,,,,,,,,130.47,0.79,126.1,119.14,
ARWR,,,,,,,,,,,,,,,,
AS,,,,,,,,,,,,38.47,0.97,36.73,31.21,
ASAN,,,,,,,,,,,,15.01,0.28,14.62,15.83,
ASB,,,,,,,,,,,,,,,,
ASBP,,,,,,,,,,,,0.36,0.01,0.4,2.75,
ASC,,,,,,,,,,,,,,,,
ASGN,,,,,,,,,,,,48.41,0.0,51.16,61.59,
ASH,,,,,,,,,,,,,,,,
ASIC,,,,,,,,,,,,20.29,0.07,21.77,22.92,
ASIX,,,,,,,,,,,,,,,,
ASLE,,,,,,,,,,,,,,,,
ASM,,,,,,,,,,,,3.68,0.86,3.48,2.54,
ASMB,,,,,,,,,,,,,,,,
ASML,,,,,,,,,,,,734.58,0.32,760.33,740.99,
ASND,,,,,,,,,,,,169.9,0.92,170.35,158.57,
ASNS,,,,,,,,,,,,,,,,
ASO,,,,,,,,,,,,54.12,0.47,47.38,46.6,
ASPC,,,,,,,,,,,,10.26,0.97,10.24,10.14,0.11
ASPCU,,,,,,,,,,,,,,,,
ASPI,,,,,,,,,,,,,,,,
ASPN,,,,,,,,,,,,,,,,
ASPS,,,,,,,,,,,,15.04,0.23,10.53,8.54,
ASR,,,,,,,,,,,,312.0,0.77,313.29,301.53,
ASRT,,,,,,,,,,,,,,,,
ASRV,,,,,,,,,,,,,,,,
ASST,,,,,,,,,,,,,,,,
ASTC,,,,,,,,,,,,5.51,0.0,5.7,6.23,
ASTE,,,,,,,,,,,,37.97,0.37,39.71,37.51,
ASTH,,,,,,,,,,,,22.65,0.0,25.06,29.89,
ASTI,,,,,,,,,,,,,,,,
ASTL,,,,,,,,,,,,,,,,
ASTS,,,,,,,,,,,,57.98,1.0,43.57,32.62,
ASUR,,,,,,,,,,,,,,,,
ASX,,,,,,,,,,,,,,,,
ASYS,,,,,,,,,,,,4.51,0.14,4.37,4.55,
ATAI,,,,,,,,,,,,3.23,1.0,2.51,1.99,
ATAT,,,,,,,,,,,,,,,,
ATCH,,,,,,,,,,,,,,,,
ATEC,,,,,,,,,,,,,,,,
ATEN,,,,,,,,,,,,,,,,
ATER,,,,,,,,,,,,1.37,0.02,1.51,1.87,
ATEX,,,,,,,,,,,,22.84,0.0,25.78,29.65,
ATGE,,,,,,,,,,,,117.08,0.8,121.6,111.66,
ATGL,,,,,,,,,,,,,,,,
ATHA,,,,,,,,,,,,0.41,0.05,0.35,0.46,
ATHE,,,,,,,,,,,,,,,,
ATHM,,,,,,,,,,,,,,,,
ATHR,,,,,,,,,,,,13.06,0.7,12.88,9.97,
