Ticker,Name,Sector,Industry,RS,1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago,9 Months Ago,Rating (RS),Price,MA10,MA30,Volume / VMA10,EPS RS (%),TTM EPS,Rev RS (%),TTM RPS,TTM PE
6550,北極星藥業-KY,Healthcare,Biotechnology,-35.9,-30.39,-26.21,-23.41,-22.75,-19.0,3,50.5,56.73,65.3,1.14,-31.59,-2.62,85.64,0.088,
1515,力山,Industrials,Specialty Industrial Machinery,-36.07,-29.58,-30.05,-19.44,-3.69,32.61,3,33.85,36.7,43.28,1.6,-109.63,3.92,-59.4,48.214,8.64
6505,台塑化,Energy,Oil & Gas Refining & Marketing,-36.23,-32.29,-37.53,-33.18,-23.97,-10.25,3,52.0,54.99,63.59,0.85,-246.14,2.77,-14.17,74.57,18.77
6112,邁達特,Technology,Information Technology Services,-36.37,-35.68,-36.69,-18.73,-19.92,12.91,3,45.8,46.63,56.95,1.16,-13977.96,2.13,-34.54,102.685,21.5
1301,台塑,Basic Materials,Specialty Chemicals,-36.43,-31.27,-41.03,-40.4,-27.27,-14.96,3,49.6,50.88,59.63,0.83,-125.6,0.84,-6.68,31.056,59.05
3558,神準,Technology,Communication Equipment,-36.52,-32.69,-31.67,-38.78,-29.94,-17.71,3,150.5,159.48,175.01,0.59,-333.71,7.8,-42.32,271.525,19.29
6751,智聯服務,Technology,Information Technology Services,-36.68,-35.08,-37.29,-31.2,-33.93,-12.87,3,52.8,54.03,64.0,0.52,70.29,1.92,-2.49,80.124,27.5
6799,來頡,Technology,Semiconductors,-36.8,-33.33,-38.08,-23.22,-8.44,14.05,3,111.0,113.6,138.1,0.58,-65.07,4.46,-14.38,24.83,24.89
3228,金麗科,Technology,Semiconductors,-36.9,-39.18,-35.64,8.31,84.49,83.01,3,245.0,252.15,345.8,1.33,1167.93,-0.39,43.01,4.795,
9950,萬國通,Consumer Cyclical,Footwear & Accessories,-37.14,-35.52,-35.23,-37.12,-27.57,17.02,3,13.95,14.47,15.54,1.08,-42.9,1.11,-12.33,16.567,12.57
2734,易飛網,Consumer Cyclical,Travel Services,-37.88,-36.32,-33.09,-32.66,-27.4,-0.96,3,27.5,28.57,34.94,1.68,207.41,1.63,-68.11,54.558,16.87
1294,漢田生技,Consumer Defensive,Packaged Foods,-37.88,-29.38,-8.95,10.59,123.62,42.47,3,104.5,140.5,174.4,1.87,31.03,6.92,24.68,,15.1
6235,華孚,Industrials,Metal Fabrication,-38.5,-35.95,-42.45,-37.36,-26.09,-0.9,3,69.1,71.69,83.97,0.66,-8.11,4.02,-3.16,32.175,17.19
3701,大眾控,Technology,Computer Hardware,-38.83,-35.87,-41.07,-31.66,-18.21,-6.9,3,39.1,39.81,49.17,0.37,-382.75,0.95,-7.14,62.699,41.16
4934,太極,Technology,Solar,-38.92,-32.77,-33.61,-29.84,-31.38,-17.51,3,17.0,18.63,21.71,1.71,-564.89,-1.04,-45.76,4.767,
6485,點序,Technology,Computer Hardware,-38.97,-35.98,-43.01,-32.7,-27.95,2.66,3,60.3,60.93,72.53,0.52,46.8,-0.76,-21.85,31.89,
8227,巨有科技,Technology,Semiconductors,-39.39,-39.07,-36.7,-22.06,3.28,35.38,3,179.5,188.24,225.05,0.55,-85.3,3.02,-51.91,26.258,59.44
4555,氣立,Technology,Electronic Components,-39.41,-36.61,-30.72,-17.93,-8.13,10.11,3,40.3,42.73,54.9,0.23,220.25,-0.75,5.2,19.674,
6958,日盛台駿,Financial Services,Credit Services,-39.61,-37.15,-41.44,-30.16,-26.6,-5.59,2,30.9,32.31,39.6,0.67,1.25,1.22,-16.22,19.577,25.33
4529,淳紳,Technology,Electronic Components,-39.75,-33.42,-27.92,-15.55,-1.54,-10.79,2,7.95,8.94,11.05,1.17,-80.05,-1.3,-2.69,0.078,
6703,軒郁,Consumer Defensive,Household & Personal Products,-39.78,-34.54,-31.12,-16.96,-0.28,32.22,2,180.5,198.7,248.92,1.26,-13.27,14.46,0.2,123.397,12.48
1256,鮮活果汁-KY,Consumer Defensive,Beverages—Non-Alcoholic,-39.79,-27.33,-41.92,-37.6,-24.88,-21.76,2,149.5,152.0,190.2,2.19,-24.7,9.03,-0.59,129.128,16.56
1512,瑞利,Consumer Cyclical,Auto Parts,-40.31,-39.59,-36.57,-43.51,-28.67,-16.26,2,7.1,7.41,8.78,1.05,517.25,-0.16,-11.78,10.976,
6785,昱展新藥,Healthcare,Drug Manufacturers—Specialty & Generic,-40.42,-36.79,-28.78,-17.44,44.09,12.02,2,171.5,192.9,239.98,0.82,-247.75,7.31,23.17,7.654,23.46
2329,華泰,Technology,Semiconductors,-40.74,-37.47,-38.41,-17.5,23.78,52.87,2,38.2,40.4,53.56,0.66,-46.75,2.76,-18.91,31.829,13.84
3308,聯德,Industrials,Electrical Equipment & Parts,-40.94,-39.8,-44.75,-47.46,-46.78,-4.8,2,23.35,24.15,26.61,0.48,-710.58,0.99,-103.66,4.391,23.59
3325,旭品,Technology,Electronics & Computer Distribution,-41.31,-38.84,-38.44,-30.85,-1.86,38.07,2,21.85,23.19,29.12,0.5,-72.69,-0.72,-14.88,17.524,
8085,福華,Technology,Electronic Components,-41.43,-36.83,-32.76,-2.6,42.13,39.53,2,38.05,42.65,59.93,0.73,67.25,-1.08,-16.78,4.279,
4919,新唐,Technology,Semiconductors,-41.64,-40.13,-41.31,-23.14,-18.14,-3.51,2,82.0,84.16,110.74,0.49,-1882.74,4.02,-13.8,81.32,20.4
8477,創業家,Consumer Cyclical,Internet Retail,-41.64,-39.36,-38.78,-6.77,-9.97,21.25,2,11.65,12.78,16.79,0.12,-84.3,-4.92,-32.73,34.121,
8046,南電,Technology,Electronic Components,-41.98,-40.6,-46.21,-37.08,-28.82,-17.23,2,134.5,139.6,172.73,0.7,-228.58,2.92,-17.1,53.793,46.06
8084,巨虹,Technology,Semiconductors,-42.03,-37.34,-32.1,-2.6,-21.28,-11.17,2,58.0,65.8,82.44,1.22,1.63,1.54,-57.62,10.669,37.66
6804,明係,Consumer Cyclical,Leisure,-42.04,-39.88,-43.4,-36.78,-28.81,-15.42,2,32.35,33.71,42.93,0.14,-295.25,1.07,-18.74,74.544,30.23
5227,立凱-KY,Industrials,Electrical Equipment & Parts,-42.04,-39.31,-41.23,-35.63,-37.84,-27.4,2,32.85,34.65,42.12,0.68,70.54,-5.99,12.65,8.31,
2408,南亞科,Technology,Semiconductors,-43.08,-38.28,-37.54,-16.18,-16.88,3.74,2,42.5,48.82,60.25,1.09,90.33,-2.26,0.57,11.703,
6617,共信-KY,Healthcare,Biotechnology,-43.67,-39.36,-35.19,-41.88,-23.12,-31.47,2,109.0,117.0,150.6,0.44,-21.29,-0.89,-2.88,0.278,
8088,品安,Technology,Computer Hardware,-44.45,-41.74,-36.85,-15.63,1.43,25.2,2,25.85,28.76,38.2,0.46,-266.59,0.92,-62.62,20.424,28.1
4946,辣椒,Communication Services,Electronic Gaming & Multimedia,-45.12,-38.17,-12.75,-10.15,6.71,41.32,1,38.9,49.94,57.02,1.86,26.7,-14.39,12.04,5.266,
