Ticker,Name,RS,1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago,9 Months Ago,Rating (RS),Rating (1M),Rating (3M),Rating (6M),Rating (9M),Price,52W pos,MA10,MA30,Volume / VMA10
5530,龍巖,-7.91,-8.09,-1.25,12.06,-1.86,-4.85,65,71,85,67,54,47.1,0.55,47.52,48.03,0.29
5523,豐謙,-7.93,-8.04,-3.37,-10.95,0.23,-0.75,65,66,56,71,66,31.0,0.77,30.93,30.48,0.25
2451,創見,-7.95,-6.95,-4.56,-6.3,0.37,-2.3,65,64,66,71,62,100.0,0.53,101.03,103.49,0.19
00908,富邦入息REITs+,-7.98,-6.4,0.1,-13.42,-14.08,-6.75,65,73,49,34,47,13.47,0.76,13.67,12.86,0.59
5356,協益,-7.98,-7.99,-0.4,-7.19,4.27,4.54,65,72,64,78,76,36.65,0.84,36.61,36.95,0.16
00896,中信綠能及電動車,-8.0,-8.42,-8.94,-8.55,-5.84,-6.18,65,55,61,59,49,18.21,0.89,17.65,17.76,0.35
1524,耿鼎,-8.01,-11.13,-7.55,-17.3,9.26,6.43,65,58,38,82,79,35.9,0.89,33.64,34.08,0.36
2937,集雅社,-8.02,-8.12,-8.84,-13.97,3.75,-7.57,65,55,48,77,43,36.45,0.81,35.12,34.93,0.15
3390,旭軟,-8.03,-14.35,2.77,4.51,8.84,34.17,65,77,79,81,95,31.75,0.69,32.22,31.87,0.66
3441,聯一光,-8.04,-10.99,-14.4,-17.14,-15.75,-16.32,65,37,39,29,15,40.2,0.54,38.23,37.53,0.9
2912,統一超,-8.04,-7.83,-3.53,-14.96,-11.59,-9.0,65,66,45,42,37,295.5,0.94,291.85,280.98,0.27
6217,中探針,-8.05,-11.34,-7.71,-15.37,-14.4,-15.32,65,58,44,33,17,47.0,0.49,44.83,45.44,0.36
2455,全新,-8.06,-9.36,-17.11,-10.1,-6.25,-5.49,65,28,57,58,51,165.0,0.83,150.95,152.97,0.17
5498,凱崴,-8.11,-13.61,-4.77,3.23,-8.35,-7.09,65,64,78,53,45,14.15,0.6,13.83,14.38,0.62
4741,泓瀚,-8.12,-9.64,15.47,-15.4,-3.78,-1.91,65,87,43,64,63,42.2,0.47,48.3,42.34,0.05
1418,東華,-8.19,-5.57,2.15,18.73,23.17,3.82,65,76,88,89,75,31.45,0.66,33.09,33.43,0.53
1240,茂生農經,-8.23,-8.35,-2.49,-11.07,-3.63,-2.22,65,68,56,64,62,52.3,0.87,52.8,51.31,0.18
6166,凌華,-8.25,-9.83,-7.43,-6.21,-12.59,-9.61,64,58,66,39,35,71.4,0.63,69.11,71.3,0.4
8092,建暐,-8.34,-6.66,13.18,24.89,60.75,7.75,64,86,91,97,81,22.95,0.58,24.55,26.25,0.26
1232,大統益,-8.37,-9.29,-9.85,-19.7,-11.97,-9.86,64,52,29,41,34,155.0,1.0,148.45,146.12,1.09
9917,中保科,-8.39,-7.24,-1.17,-8.01,-2.36,-2.87,64,71,62,66,60,135.5,0.78,140.6,133.67,0.32
1709,和益,-8.39,-8.71,3.25,1.8,-23.55,-18.72,64,78,77,12,11,23.0,0.51,23.77,22.31,0.1
6225,天瀚,-8.42,-7.44,-4.92,-2.58,20.8,16.17,64,63,71,89,88,15.75,0.77,15.61,16.0,1.37
5489,彩富,-8.46,-6.53,-4.77,-0.94,-7.72,-12.76,64,64,74,54,24,41.3,0.56,42.44,41.63,0.54
8155,博智,-8.47,-10.42,-18.79,-24.9,-13.99,2.59,64,23,13,34,73,152.0,0.66,132.05,138.23,1.45
4577,達航科技,-8.48,-19.48,-21.36,-27.07,-26.67,-26.92,64,17,10,8,3,24.0,0.34,20.85,21.49,3.21
3645,達邁,-8.55,-11.56,0.95,-15.2,-0.79,3.03,64,74,44,69,74,47.0,0.59,49.92,45.84,0.13
9911,櫻花,-8.57,-7.99,-0.94,-2.73,11.06,0.69,64,71,71,83,69,85.9,0.77,87.42,88.57,0.57
3015,全漢,-8.6,-11.36,-6.11,-10.54,17.64,-1.28,64,61,57,88,64,60.9,0.76,59.48,60.38,0.37
