Ticker,RS,1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago,9 Months Ago,Rating (RS),Rating (1M),Rating (3M),Rating (6M),Rating (9M),Price,52W pos,MA10,MA30,Volume / VMA10
ARMK,,,,,,,,,,,,,,,,
ARMN,,,,,,,,,,,,,,,,
ARMP,,,,,,,,,,,,,,,,
AROC,,,,,,,,,,,,,,,,
AROW,,,,,,,,,,,,26.75,0.64,26.73,25.69,
ARQ,,,,,,,,,,,,,,,,
ARQQ,,,,,,,,,,,,42.36,0.99,38.54,25.67,
ARQT,,,,,,,,,,,,,,,,
ARR,,,,,,,,,,,,,,,,
ARRY,,,,,,,,,,,,,,,,
ARTL,,,,,,,,,,,,14.95,0.53,12.29,8.14,
ARTNA,,,,,,,,,,,,,,,,
ARTV,,,,,,,,,,,,2.39,0.06,1.82,2.02,
ARTW,,,,,,,,,,,,,,,,
ARVN,,,,,,,,,,,,,,,,
ARW,,,,,,,,,,,,,,,,
ARWR,,,,,,,,,,,,,,,,
AS,,,,,,,,,,,,38.47,0.97,38.25,32.72,
ASAN,,,,,,,,,,,,15.01,0.28,13.86,15.4,
ASB,,,,,,,,,,,,,,,,
ASBP,,,,,,,,,,,,0.36,0.01,0.31,0.37,
ASC,,,,,,,,,,,,,,,,
ASGN,,,,,,,,,,,,48.41,0.0,49.72,52.92,
ASH,,,,,,,,,,,,,,,,
ASIC,,,,,,,,,,,,,,,,
ASIX,,,,,,,,,,,,,,,,
ASLE,,,,,,,,,,,,,,,,
ASM,,,,,,,,,,,,3.68,0.86,3.66,3.02,
ASMB,,,,,,,,,,,,,,,,
ASML,,,,,,,,,,,,734.58,0.32,776.7,732.63,
ASND,,,,,,,,,,,,169.9,0.92,173.63,166.53,
ASNS,,,,,,,,,,,,,,,,
ASO,,,,,,,,,,,,54.12,0.47,48.48,43.07,
ASPC,,,,,,,,,,,,10.26,0.97,10.26,10.2,0.2
ASPCU,,,,,,,,,,,,,,,,
ASPI,,,,,,,,,,,,,,,,
ASPN,,,,,,,,,,,,,,,,
ASPS,,,,,,,,,,,,15.04,0.23,11.36,8.4,
ASR,,,,,,,,,,,,312.0,0.77,310.46,315.07,
ASRT,,,,,,,,,,,,,,,,
ASRV,,,,,,,,,,,,,,,,
ASST,,,,,,,,,,,,,,,,
ASTC,,,,,,,,,,,,,,,,
ASTE,,,,,,,,,,,,,,,,
ASTH,,,,,,,,,,,,22.65,0.0,24.31,27.07,
ASTI,,,,,,,,,,,,,,,,
ASTL,,,,,,,,,,,,,,,,
ASTS,,,,,,,,,,,,57.98,1.0,48.89,34.03,
ASUR,,,,,,,,,,,,,,,,
ASX,,,,,,,,,,,,,,,,
ASYS,,,,,,,,,,,,4.51,0.14,4.5,4.0,
ATAI,,,,,,,,,,,,3.23,1.0,2.66,2.06,
ATAT,,,,,,,,,,,,,,,,
ATCH,,,,,,,,,,,,,,,,
ATEC,,,,,,,,,,,,,,,,
ATEN,,,,,,,,,,,,,,,,
ATER,,,,,,,,,,,,,,,,
ATEX,,,,,,,,,,,,22.84,0.0,25.06,27.68,
ATGE,,,,,,,,,,,,117.08,0.8,122.34,121.53,
ATGL,,,,,,,,,,,,,,,,
ATHA,,,,,,,,,,,,,,,,
ATHE,,,,,,,,,,,,,,,,
ATHM,,,,,,,,,,,,,,,,
ATHR,,,,,,,,,,,,13.06,0.7,12.88,11.63,
ATI,,,,,,,,,,,,93.41,1.0,87.77,74.85,
ATII,,,,,,,,,,,,10.21,0.92,10.22,10.12,
ATIIU,,,,,,,,,,,,,,,,
ATKR,,,,,,,,,,,,,,,,
ATLC,,,,,,,,,,,,,,,,
ATLN,,,,,,,,,,,,1.8,0.03,2.07,2.74,
ATLO,,,,,,,,,,,,,,,,
ATLX,,,,,,,,,,,,,,,,
ATMC,,,,,,,,,,,,,,,,
ATMCU,,,,,,,,,,,,,,,,
ATMU,,,,,,,,,,,,37.68,0.74,36.82,35.95,
ATMV,,,,,,,,,,,,11.9,1.0,11.83,11.75,
ATMVU,,,,,,,,,,,,,,,,
ATNF,,,,,,,,,,,,,,,,
ATNI,,,,,,,,,,,,17.59,0.17,16.83,16.0,
ATNM,,,,,,,,,,,,,,,,
ATO,,,,,,,,,,,,156.66,0.93,153.84,155.04,
ATOM,,,,,,,,,,,,,,,,
ATOS,,,,,,,,,,,,,,,,
ATPC,,,,,,,,,,,,,,,,
ATR,,,,,,,,,,,,156.38,0.68,156.29,153.19,
ATRA,,,,,,,,,,,,,,,,
ATRC,,,,,,,,,,,,,,,,
ATRO,,,,,,,,,,,,,,,,
ATS,,,,,,,,,,,,,,,,
ATUS,,,,,,,,,,,,,,,,
ATXG,,,,,,,,,,,,,,,,
ATXS,,,,,,,,,,,,,,,,
ATYR,,,,,,,,,,,,,,,,
AU,,,,,,,,,,,,47.66,0.91,46.67,44.56,
AUB,,,,,,,,,,,,33.22,0.53,32.21,29.58,
AUBN,,,,,,,,,,,,,,,,
AUDC,,,,,,,,,,,,,,,,
AUGO,,,,,,,,,,,,,,,,
AUID,,,,,,,,,,,,,,,,
AUNA,,,,,,,,,,,,6.35,0.03,6.32,6.59,
AUPH,,,,,,,,,,,,,,,,
AUR,,,,,,,,,,,,,,,,
AURA,,,,,,,,,,,,,,,,
AUST,,,,,,,,,,,,,,,,
AUTL,,,,,,,,,,,,,,,,
AUUD,,,,,,,,,,,,,,,,
AVA,,,,,,,,,,,,,,,,
AVAH,,,,,,,,,,,,3.96,0.58,4.48,4.89,
AVAL,,,,,,,,,,,,,,,,
AVAV,,,,,,,,,,,,274.03,0.98,250.36,194.45,
AVB,,,,,,,,,,,,,,,,
AVBP,,,,,,,,,,,,22.05,0.35,22.52,21.26,
AVD,,,,,,,,,,,,,,,,
AVDL,,,,,,,,,,,,10.83,0.34,9.55,9.12,
AVDX,,,,,,,,,,,,,,,,
AVGO,,,,,,,,,,,,,,,,
AVIR,,,,,,,,,,,,,,,,
AVNS,,,,,,,,,,,,11.22,0.0,11.97,12.31,
AVNT,,,,,,,,,,,,,,,,
AVNW,,,,,,,,,,,,,,,,
AVO,,,,,,,,,,,,,,,,
AVPT,,,,,,,,,,,,18.78,0.94,18.53,17.87,
AVR,,,,,,,,,,,,,,,,
AVT,,,,,,,,,,,,,,,,
AVTR,,,,,,,,,,,,,,,,
AVTX,,,,,,,,,,,,,,,,
AVXL,,,,,,,,,,,,10.98,0.85,10.29,9.06,
AVY,,,,,,,,,,,,,,,,
AWI,,,,,,,,,,,,,,,,
AWK,,,,,,,,,,,,,,,,
AWR,,,,,,,,,,,,,,,,
AWRE,,,,,,,,,,,,,,,,
AWX,,,,,,,,,,,,,,,,
AX,,,,,,,,,,,,,,,,
AXGN,,,,,,,,,,,,11.28,0.46,10.87,12.34,
AXIL,,,,,,,,,,,,,,,,
AXL,,,,,,,,,,,,,,,,
AXON,,,,,,,,,,,,,,,,
AXP,,,,,,,,,,,,,,,,
AXR,,,,,,,,,,,,,,,,
AXS,,,,,,,,,,,,97.11,0.82,99.64,99.9,
AXSM,,,,,,,,,,,,,,,,
AXTA,,,,,,,,,,,,,,,,
AXTI,,,,,,,,,,,,2.44,0.34,2.13,1.7,
AYI,,,,,,,,,,,,292.66,0.76,294.44,267.99,
AYRO,,,,,,,,,,,,,,,,
AYTU,,,,,,,,,,,,,,,,
AZ,,,,,,,,,,,,,,,,
AZI,,,,,,,,,,,,0.26,0.02,0.27,0.62,
AZN,,,,,,,,,,,,,,,,
AZO,,,,,,,,,,,,3713.93,0.92,3690.73,3696.92,
AZTA,,,,,,,,,,,,31.16,0.14,31.62,28.74,
AZTR,,,,,,,,,,,,0.23,0.0,0.24,0.27,
AZZ,,,,,,,,,,,,,,,,
B,,,,,,,,,,,,,,,,
BA,,,,,,,,,,,,,,,,
BABA,,,,,,,,,,,,,,,,
BAC,,,,,,,,,,,,47.32,0.94,47.12,43.36,
BACCU,,,,,,,,,,,,10.06,0.42,10.06,10.05,
BACQ,,,,,,,,,,,,,,,,
BACQU,,,,,,,,,,,,,,,,
BAER,,,,,,,,,,,,,,,,
BAFN,,,,,,,,,,,,,,,,
BAH,,,,,,,,,,,,,,,,
BAK,,,,,,,,,,,,,,,,
BALL,,,,,,,,,,,,57.85,0.57,57.51,53.52,
BALY,,,,,,,,,,,,,,,,
BAM,,,,,,,,,,,,,,,,
BANC,,,,,,,,,,,,,,,,
BAND,,,,,,,,,,,,,,,,
BANF,,,,,,,,,,,,135.3,1.0,127.74,121.81,
BANL,,,,,,,,,,,,,,,,
BANR,,,,,,,,,,,,,,,,
BANX,,,,,,,,,,,,,,,,
BAOS,,,,,,,,,,,,2.8,0.19,2.77,2.49,
BAP,,,,,,,,,,,,,,,,
BARK,,,,,,,,,,,,,,,,
