Ticker,RS,1wk:end max,1mo:1wk max,3mo:1mo max,6mo:3mo max,9mo:6mo max,Rating (RS),Rating (3M:1M),Rating (6M:3M),Rating (9M:6M),Price,52W pos,MA50,MA200,Volume / VMA50
AEP,98.17,100.29,107.27,116.22,112.53,112.6,47,86,78,68,104.74,0.85,103.25,99.49,0.75
NEE,98.13,98.96,101.54,103.45,98.21,110.87,47,44,19,58,73.65,0.51,70.52,72.16,0.67
CFG,98.13,98.13,96.38,100.11,108.45,111.45,47,29,65,63,47.38,0.97,41.39,42.19,1.52
RF,98.11,98.11,96.83,95.97,106.38,110.69,47,16,55,57,24.63,0.77,22.0,22.68,0.99
HST,98.07,98.07,97.34,94.8,98.54,99.8,46,13,20,15,16.15,0.63,15.21,15.95,0.6
USB,98.06,98.06,97.07,95.5,107.12,108.96,46,14,59,46,47.3,0.71,43.48,44.83,0.98
SYY,97.96,99.13,101.32,103.78,99.77,108.66,46,46,25,45,76.33,0.7,72.95,73.31,0.57
KDP,97.94,100.16,106.41,112.22,104.77,112.1,46,77,47,67,33.65,0.52,33.23,33.11,1.15
BXP,97.92,98.32,99.34,98.27,100.75,121.68,46,22,28,92,69.03,0.43,67.32,70.82,0.9
ROST,97.87,99.63,102.03,102.12,98.28,100.66,45,38,20,16,131.21,0.26,138.6,141.32,0.64
CB,97.85,100.22,107.81,110.68,105.29,109.24,45,72,49,49,280.0,0.54,287.8,282.7,1.3
NDSN,97.84,97.84,97.12,95.77,91.87,108.52,45,15,6,44,222.04,0.58,206.54,219.62,0.4
UAL,97.83,97.83,95.39,101.06,169.46,168.67,45,34,99,99,80.18,0.58,77.57,82.85,0.81
XEL,97.72,99.87,106.34,111.47,107.34,116.32,45,74,60,81,67.84,0.81,68.69,66.95,0.61
LVS,97.71,97.71,94.92,92.6,111.8,119.08,44,8,77,89,49.61,0.8,41.79,44.78,0.62
PPL,97.53,99.9,107.01,113.89,109.31,113.44,44,81,68,71,33.76,0.74,34.34,33.35,0.58
GOOGL,97.49,97.49,97.06,98.33,108.84,103.67,44,22,67,25,176.62,0.52,168.77,172.61,1.03
CBRE,97.36,97.4,97.31,105.46,110.09,126.01,44,53,72,95,139.75,0.87,130.53,131.03,0.85
HSY,97.36,98.58,101.8,109.52,99.16,104.91,44,67,22,30,161.95,0.35,165.23,168.29,1.89
UHS,97.34,98.87,103.36,103.59,97.14,121.91,43,45,14,92,182.56,0.31,182.63,190.47,0.76
CMG,97.25,97.28,97.19,94.65,102.86,103.71,43,13,37,26,55.94,0.49,52.21,55.38,0.7
PPG,97.21,97.21,98.02,98.41,95.26,101.09,43,22,11,17,118.19,0.66,111.6,115.77,0.71
GOOG,97.17,97.17,96.82,98.57,108.73,103.63,43,23,66,25,177.66,0.51,170.04,174.19,1.11
PNW,97.15,99.33,106.65,113.48,108.19,111.32,43,79,63,61,89.96,0.76,90.66,88.61,0.53
MCD,97.13,99.58,107.46,113.15,107.12,114.84,42,79,59,76,293.02,0.65,304.88,298.68,0.94
CL,97.07,98.87,104.23,107.5,100.5,105.57,42,59,27,33,91.58,0.29,90.72,91.96,1.17
AEE,97.06,99.2,106.1,115.11,113.31,115.08,42,84,80,78,95.2,0.79,96.14,92.75,1.26
ROP,97.04,98.74,104.39,111.16,107.98,99.8,42,74,62,15,558.64,0.63,567.46,556.68,1.6
SHW,97.04,98.31,101.54,102.99,99.63,117.75,42,42,24,85,351.54,0.51,351.28,356.67,1.37
PSX,97.03,97.03,97.72,102.42,102.69,100.85,42,39,35,16,130.51,0.77,117.06,119.68,0.91
GL,97.01,99.0,106.64,117.88,117.88,119.72,41,90,89,90,117.6,0.7,120.95,116.28,1.52
AME,96.93,96.96,98.25,100.3,104.84,104.38,41,30,47,28,182.28,0.69,177.24,177.94,0.9
QCOM,96.93,96.93,96.64,100.94,101.43,89.99,41,34,30,3,159.35,0.44,151.16,156.94,0.49
CTSH,96.9,96.99,98.89,104.74,105.41,110.99,41,50,49,59,79.95,0.58,79.07,78.24,0.55
