Ticker,RS,1wk:end max,1mo:1wk max,3mo:1mo max,6mo:3mo max,9mo:6mo max,Rating (RS),Rating (3M:1M),Rating (6M:3M),Rating (9M:6M),Price,52W pos,MA50,MA200,Volume / VMA50
SGMA,76.29,76.29,71.53,108.91,134.2,114.43,10,67,87,69,2.93,0.16,2.82,3.79,0.38
DK,76.27,76.27,79.1,79.38,102.69,104.68,10,7,50,47,18.55,0.18,18.43,24.12,1.57
DFLI,76.27,76.38,77.54,132.61,187.59,132.58,10,90,95,84,0.51,0.08,0.55,0.68,1.37
OTRK,76.25,78.99,92.02,108.64,238.55,151.2,10,66,97,90,1.84,0.01,2.45,3.46,0.02
ALTG,76.24,76.24,77.59,78.79,98.22,100.62,10,7,35,35,8.46,0.38,6.46,9.11,1.91
VSAT,76.14,83.05,99.58,105.31,94.93,116.82,10,57,24,72,9.0,0.0,11.87,15.93,1.15
SONM,76.14,76.14,71.72,91.12,103.04,97.39,10,18,51,26,3.35,0.12,3.04,4.93,0.73
FTRE,76.09,76.09,81.31,82.01,107.78,108.88,9,9,63,58,22.75,0.25,19.69,27.82,1.15
APLS,76.05,76.42,80.2,83.81,85.02,129.61,9,10,8,82,29.58,0.06,30.83,43.84,0.61
VOR,76.0,76.0,71.98,67.36,89.54,124.07,9,3,12,79,1.01,0.17,0.8,1.37,1.08
RMNI,76.0,76.0,74.18,88.43,91.86,102.3,9,14,15,40,1.94,0.19,1.82,2.52,1.44
TBI,75.99,75.99,78.16,87.41,89.59,101.96,9,13,12,39,7.76,0.08,7.62,10.08,0.86
DXCM,75.94,75.94,73.86,76.73,104.37,112.66,9,6,55,66,70.31,0.08,69.68,103.61,1.02
ZTEK,75.94,75.94,75.5,87.36,91.1,105.51,9,13,14,49,0.81,0.27,0.75,1.03,0.76
CRIS,75.92,75.92,72.99,64.89,140.59,200.0,9,3,89,95,4.32,0.01,5.11,8.64,2.44
OMH,75.92,75.93,79.44,81.06,78.24,79.38,9,8,4,3,0.4,0.04,0.42,0.63,0.45
THAR,75.91,75.91,72.14,73.07,74.55,63.91,9,5,4,2,2.26,0.0,2.51,4.23,0.04
AIRT,75.91,78.1,87.35,109.19,133.9,122.67,9,68,87,78,15.19,0.07,17.99,21.11,0.89
PRO,75.85,75.85,71.34,72.27,90.99,100.03,9,4,14,33,22.67,0.25,18.92,27.31,0.8
CSTM,75.81,76.34,80.3,86.34,104.92,103.65,9,12,56,44,11.95,0.1,14.54,18.21,0.61
WPRT,75.76,77.77,84.84,97.14,98.33,101.72,9,35,36,38,4.01,0.01,4.56,5.6,0.93
AMR,75.75,75.75,76.66,87.64,96.16,139.29,9,14,28,87,239.83,0.2,216.44,290.32,0.96
NOTE,75.71,77.69,90.8,114.91,121.69,129.59,9,78,81,82,0.94,0.11,1.14,1.38,1.97
KOS,75.61,76.29,79.04,87.71,94.26,89.43,9,14,19,7,3.82,0.06,4.1,5.26,1.35
TRUG,75.61,81.83,92.55,92.71,80.56,64.74,9,21,5,2,0.47,0.0,0.89,1.3,3.09
HEPA,75.6,75.6,71.12,62.79,85.67,85.34,9,3,8,5,0.67,0.03,0.68,1.29,0.73
WFRD,75.57,75.57,81.69,98.06,117.04,116.48,9,38,77,72,90.55,0.23,88.32,107.5,0.73
UONEK,75.56,75.56,77.6,78.33,73.96,92.02,9,7,3,9,1.12,0.04,1.13,1.71,0.99
HLVX,75.52,75.52,70.93,60.55,96.25,110.34,9,3,29,62,1.97,0.02,1.81,8.95,0.82
BKKT,75.47,76.56,86.31,166.51,165.38,212.43,9,95,93,95,12.45,0.12,10.64,15.12,6.21
VTSI,75.46,75.46,75.15,75.88,136.97,191.26,9,5,88,94,6.97,0.17,6.28,9.12,1.86
