Ticker,Name,RS,1wk:end max,1mo:1wk max,3mo:1mo max,6mo:3mo max,9mo:6mo max,Rating (RS),Rating (3M:1M),Rating (6M:3M),Rating (9M:6M),Price,52W pos,MA50,MA200,Volume / VMA50
4160,訊聯基因,112.44,122.0,147.61,197.02,196.35,96.57,87,98,98,36,86.4,0.49,93.87,71.16,0.2
8021,尖點,112.43,112.46,113.75,113.21,98.48,97.07,87,80,54,39,40.2,0.97,36.73,31.96,2.3
2420,新巨,112.31,112.31,111.67,109.92,107.58,98.11,87,77,72,44,76.3,0.92,72.16,61.01,0.4
4527,方土霖,112.28,112.28,108.74,100.28,103.02,97.98,87,59,65,43,61.0,0.85,50.35,44.26,2.19
8390,金益鼎,112.25,113.99,121.31,121.08,105.6,95.99,86,87,69,33,77.2,0.77,74.48,62.81,1.38
1463,強盛新,112.13,114.11,116.94,117.93,101.61,101.04,86,85,62,57,23.9,0.72,24.35,20.86,0.28
2597,潤弘,112.03,114.51,116.21,115.42,124.51,115.65,86,83,88,85,136.0,0.64,144.85,122.28,0.42
3494,誠研,112.02,114.95,115.27,118.92,103.74,95.85,86,85,66,33,7.8,0.83,7.47,6.54,0.85
5538,東明-KY,111.95,111.95,111.12,104.21,86.6,98.25,86,68,11,44,35.25,0.6,36.21,33.11,0.1
5274,信驊,111.93,112.11,116.3,128.81,121.4,103.03,86,90,86,64,4360.0,0.65,4574.0,3784.0,0.78
3652,精聯,111.9,115.43,129.05,139.28,119.51,99.39,86,93,85,50,42.95,0.6,43.0,36.26,1.16
6416,瑞祺電通,111.83,112.17,112.25,111.32,105.35,113.71,86,79,69,83,145.0,0.78,147.55,127.44,0.69
910322,康師傅-DR,111.83,111.83,110.32,103.69,96.28,80.94,86,67,47,1,23.75,0.88,22.04,19.38,1.1
3188,鑫龍騰,111.68,121.08,135.08,141.3,139.17,122.84,86,94,93,90,28.3,0.32,38.06,30.9,0.25
2923,鼎固-KY,111.62,112.34,111.82,109.76,107.06,103.11,86,76,72,64,31.75,0.53,32.29,28.53,0.47
2449,京元電子,111.58,111.58,114.33,118.4,107.16,107.07,86,85,72,73,128.5,0.88,119.38,103.92,0.6
6693,廣閎科,111.46,111.46,110.69,104.36,95.06,102.15,86,68,42,61,88.8,0.87,84.59,75.57,1.2
2348,海悅,111.45,123.51,142.94,171.85,168.84,132.16,86,97,97,94,150.5,0.35,206.03,159.43,0.41
