Ticker,Sector,Industry,RS,1wk:end max,1mo:1wk max,3mo:1mo max,6mo:3mo max,9mo:6mo max,Rating (RS),Rating (3M:1M),Rating (6M:3M),Rating (9M:6M),Price,52W pos,MA50,MA200,Volume / VMA50
FMC,Basic Materials,Agricultural Inputs,104.05,104.13,103.5,98.03,105.67,95.27,58,34,67,12,60.66,0.61,63.1,60.01,0.68
ZTS,Healthcare,Drug Manufacturers - Specialty & Generic,104.05,104.1,103.99,101.19,91.77,101.6,58,47,7,36,190.08,0.82,188.01,180.03,1.0
KDP,Consumer Defensive,Beverages - Non-Alcoholic,104.04,104.04,103.21,102.58,103.82,106.91,58,56,58,63,36.38,0.84,36.39,33.23,0.71
PAYX,Technology,Software - Application,104.03,104.03,102.37,98.42,95.77,96.12,58,36,17,14,138.89,0.94,131.51,124.19,0.89
NSC,Industrials,Railroads,103.95,103.95,103.02,98.03,103.33,107.5,58,34,55,64,250.17,0.84,246.38,239.89,0.97
CAH,Healthcare,Medical Distribution,103.84,103.84,101.85,98.29,97.74,104.91,57,35,23,53,112.51,0.87,109.51,105.01,0.98
PWR,Industrials,Engineering & Construction,103.74,103.74,101.6,106.69,117.43,110.25,57,76,93,76,309.42,1.0,275.08,252.48,0.5
GRMN,Technology,Scientific & Technical Instruments,103.73,104.93,105.94,110.96,115.74,106.29,57,89,92,60,165.89,0.79,173.48,154.58,0.68
IFF,Basic Materials,Specialty Chemicals,103.69,103.9,104.05,109.18,110.35,111.73,57,84,80,81,102.66,0.94,101.17,91.07,0.57
CL,Consumer Defensive,Household & Personal Products,103.61,104.32,105.93,105.68,103.88,104.66,57,71,58,52,100.1,0.78,103.49,93.22,1.18
TRV,Financial Services,Insurance - Property & Casualty,103.59,103.59,102.78,97.21,109.49,110.06,56,30,79,75,236.58,0.93,227.52,216.75,0.83
CCL,Consumer Cyclical,Travel Services,103.59,103.59,103.98,104.24,98.57,122.78,56,64,27,94,20.43,1.0,16.88,16.37,0.99
OMC,Communication Services,Advertising Agencies,103.55,103.55,102.84,97.99,102.01,103.82,56,33,47,47,102.86,0.97,98.86,93.26,0.57
