Ticker,Name,Sector,Industry,RS,1wk:end max,1mo:1wk max,3mo:1mo max,6mo:3mo max,9mo:6mo max,Rating (RS),Rating (3M:1M),Rating (6M:3M),Rating (9M:6M),Price,52W pos,MA50,MA200,Volume / VMA50
4721,美琪瑪,Basic Materials,Specialty Chemicals,92.68,93.15,95.0,94.87,89.77,100.37,31,39,23,53,72.3,0.34,72.16,75.54,8.54
00656R,國泰中國A50反1,,,92.67,93.95,98.42,98.48,85.06,96.47,30,53,7,32,7.38,0.23,8.39,8.79,0.74
1316,上曜,Real Estate,Real Estate Services,92.66,96.0,100.39,101.71,139.61,136.88,30,63,93,95,14.9,0.29,17.9,18.2,0.4
1903,士紙,Consumer Defensive,Household & Personal Products,92.65,92.8,92.69,96.06,101.89,97.34,30,45,62,37,54.9,0.21,56.23,57.8,0.37
6432,今展科,Technology,Electronic Components,92.65,93.46,93.84,93.95,91.42,89.57,30,35,30,5,32.35,0.21,33.32,34.59,0.82
1617,榮星,Technology,Electronics & Computer Distribution,92.64,94.42,98.61,116.52,128.23,103.63,30,84,89,64,20.35,0.31,21.76,21.19,0.21
00927,群益半導體收益,,,92.64,92.99,94.04,95.23,96.14,99.53,30,40,46,49,18.77,0.52,18.88,18.95,0.55
6278,台表科,Technology,Semiconductors,92.63,93.49,98.01,104.47,104.78,98.64,30,69,68,44,113.0,0.48,111.94,110.81,1.13
2427,三商電,Industrials,Business Equipment & Supplies,92.61,93.5,97.06,103.61,105.91,86.15,30,67,70,2,27.75,0.38,27.09,27.11,4.86
6147,頎邦,Technology,Semiconductor Equipment & Materials,92.61,92.61,92.27,88.81,93.41,98.97,30,13,36,46,64.6,0.18,65.47,70.42,0.51
3022,威強電,Technology,Computer Hardware,92.58,94.49,95.12,94.06,92.57,106.01,30,35,33,70,79.1,0.37,77.73,80.95,0.44
3594,磐儀,Technology,Computer Hardware,92.56,94.16,96.94,97.04,93.66,93.37,30,48,37,13,40.85,0.3,41.88,43.51,0.31
5244,弘凱,Technology,Electronic Components,92.56,93.26,93.58,93.3,110.69,134.94,30,31,76,94,41.9,0.43,42.67,45.61,0.81
2409,友達,Technology,Electronic Components,92.55,92.83,92.94,90.99,93.78,104.67,30,21,38,67,17.3,0.51,16.61,17.62,0.64
6691,洋基工程,Industrials,Engineering & Construction,92.54,92.77,96.56,98.5,106.87,109.56,30,53,71,77,318.0,0.61,321.0,317.42,0.48
3093,港建*,Technology,Electronic Components,92.53,92.53,90.8,88.97,89.37,92.52,30,14,21,10,30.95,0.61,28.1,29.9,1.69
4138,曜亞,Healthcare,Medical Devices,92.53,92.64,92.6,91.23,102.91,102.99,30,22,64,62,89.5,0.1,93.03,98.85,0.71
1304,台聚,Basic Materials,Specialty Chemicals,92.51,94.05,94.4,91.04,81.95,93.3,30,21,3,13,14.25,0.13,14.8,16.26,0.37
8215,明基材,Technology,Electronic Components,92.5,92.5,91.97,89.38,88.88,93.72,30,16,19,15,32.2,0.48,30.68,32.93,0.51
3666,光耀,Technology,Electronic Components,92.5,93.47,99.81,110.54,127.22,99.29,30,78,89,47,34.7,0.57,33.4,32.48,3.06
2643,捷迅,Industrials,Integrated Freight & Logistics,92.49,92.54,92.47,94.19,100.83,103.46,30,36,60,64,72.8,0.29,75.08,77.48,2.3
5009,榮剛,Basic Materials,Steel,92.49,92.51,92.19,88.93,97.09,99.31,30,14,49,48,45.85,0.14,46.81,49.06,1.42
5522,遠雄,Real Estate,Real Estate—Development,92.47,95.02,99.23,124.18,124.51,90.99,29,88,88,7,68.2,0.3,75.06,71.72,0.74
5302,太欣,Technology,Semiconductors,92.47,93.96,97.43,105.17,101.32,100.14,29,70,61,52,11.25,0.19,11.52,11.7,0.63
3588,通嘉,Technology,Semiconductors,92.47,92.47,91.25,84.91,110.36,119.42,29,6,76,88,85.0,0.43,77.92,86.23,0.48
