Symbol,Name,Market Cap,Sector,Industry
VAR,"Varian Medical Systems, Inc.",$16.01 B,Healthcare,Medical Instruments & Supplies
EMN,Eastman Chemical Company,$15.98 B,Basic Materials,Chemicals
HWM,Howmet Aerospace Inc.,$15.83 B,Industrials,Specialty Industrial Machinery
KMX,"CarMax, Inc.",$15.72 B,Consumer Discretionary,Auto & Truck Dealerships
DPZ,"Domino's Pizza, Inc.",$15.71 B,Consumer Discretionary,Restaurants
NLOK,NortonLifeLock Inc.,$15.57 B,Technology,Software—Infrastructure
WDC,Western Digital Corporation,$15.52 B,Technology,Computer Hardware
APA,Apache Corporation,$15.35 B,Energy,Oil & Gas E&P
XYL,Xylem Inc.,$15.32 B,Industrials,Specialty Industrial Machinery
PKG,Packaging Corporation of America,$15.30 B,Consumer Discretionary,Packaging & Containers
LDOS,"Leidos Holdings, Inc.",$15.17 B,Technology,Information Technology Services
CHRW,"C.H. Robinson Worldwide, Inc.",$14.97 B,Industrials,Integrated Freight & Logistics
SJM,The J. M. Smucker Company,$14.93 B,Consumer Staples,Packaged Foods
RJF,"Raymond James Financial, Inc.",$14.90 B,Financials,Capital Markets
JKHY,"Jack Henry & Associates, Inc.",$14.89 B,Technology,Information Technology Services
ETSY,"Etsy, Inc.",$14.87 B,Consumer Discretionary,Internet Retail
ABMD,"Abiomed, Inc.",$14.79 B,Healthcare,Medical Devices
UAL,"United Airlines Holdings, Inc.",$14.68 B,Industrials,Airlines
IEX,IDEX Corporation,$14.67 B,Industrials,Specialty Industrial Machinery
AVY,Avery Dennison Corporation,$14.46 B,Industrials,Business Equipment & Supplies
IPG,"The Interpublic Group of Companies, Inc.",$14.18 B,Communication Services,Advertising Agencies
BEN,"Franklin Resources, Inc.",$14.12 B,Financials,Asset Management
QRVO,"Qorvo, Inc.",$14.01 B,Technology,Semiconductors
CPB,Campbell Soup Company,$13.80 B,Consumer Staples,Packaged Foods
LKQ,LKQ Corporation,$13.76 B,Consumer Discretionary,Auto Parts
AAP,"Advance Auto Parts, Inc.",$13.64 B,Consumer Discretionary,Specialty Retail
HST,"Host Hotels & Resorts, Inc.",$13.55 B,Real Estate,REIT—Hotel & Motel
MAS,Masco Corporation,$13.38 B,Industrials,Building Products & Equipment
VTRS,Viatris Inc.,$13.36 B,Healthcare,Drug Manufacturers—Specialty & Generic
NWSA,News Corporation,$12.93 B,Communication Services,Broadcasting
NWS,News Corporation,$12.93 B,Communication Services,Broadcasting
LUMN,"Lumen Technologies, Inc.",$12.92 B,Communication Services,Telecom Services
MKTX,MarketAxess Holdings Inc.,$12.91 B,Financials,Capital Markets
CMA,Comerica Incorporated,$12.89 B,Financials,Banks
NI,NiSource Inc.,$12.68 B,Utilities,Utilities—Regulated Gas
HSIC,"Henry Schein, Inc.",$12.65 B,Healthcare,Medical Distribution
RHI,Robert Half International Inc.,$12.56 B,Industrials,Staffing & Employment Services
WRK,WestRock Company,$12.55 B,Consumer Discretionary,Packaging & Containers
LNC,Lincoln National Corporation,$12.55 B,Financials,Insurance—Life
CTXS,"Citrix Systems, Inc.",$12.47 B,Technology,Software—Application
UHS,"Universal Health Services, Inc.",$12.43 B,Healthcare,Medical Care Facilities
REG,Regency Centers Corporation,$12.39 B,Real Estate,REIT—Retail
FFIV,"F5 Networks, Inc.",$12.37 B,Technology,Software—Infrastructure
JNPR,"Juniper Networks, Inc.",$12.31 B,Technology,Communication Equipment
CBOE,"Cboe Global Markets, Inc.",$12.22 B,Financials,Financial Data & Stock Exchanges
DISCK,"Discovery, Inc.",$12.21 B,Communication Services,Entertainment
DISCA,"Discovery, Inc.",$12.21 B,Communication Services,Entertainment
RE,"Everest Re Group, Ltd.",$12.17 B,Financials,Insurance—Reinsurance
DVA,DaVita Inc.,$12.08 B,Healthcare,Medical Care Facilities
TAP,Molson Coors Beverage Company,$11.77 B,Consumer Staples,Beverages—Brewers
HAS,"Hasbro, Inc.",$11.38 B,Consumer Discretionary,Leisure
