Ticker,Name,Sector,Industry,Price,EPS QoQ (%),QoQ 2Q Algo (%),QoQ 3Q Algo (%),EPS YoY (%),YoY 2Q Algo (%),EPS RS,TTM EPS,Rev RS,TTM RPS,TTM PE,Rating (EPS RS),Rating (Rev RS)
6241,易通展,Technology,Communication Equipment,17.8,2.75,-0.44,-0.79,6.52,-0.63,316.56,1.5,-11.94,13.404,11.9,88,68
4560,強信-KY,Industrials,Tools & Accessories,32.95,1.08,0.25,0.33,-0.21,11.5,314.48,1.18,-11.82,20.402,27.8,88,68
2342,茂矽,Technology,Semiconductors,32.4,4.0,-0.09,-0.1,8.0,4.0,313.73,-0.72,-10.32,9.909,,87,70
6640,均華,Technology,Semiconductors,977.0,-1.17,0.96,21.91,1.16,9.27,312.79,8.98,36.8,64.467,103.12,87,93
8927,北基,Consumer Cyclical,Specialty Retail,63.8,19.33,-1.08,-0.52,11.2,0.0,312.66,1.29,114.36,31.613,49.84,87,96
5344,立衛,Technology,Semiconductors,19.65,0.07,0.43,0.75,9.0,2.2,309.57,0.63,-6.76,4.422,30.56,87,75
2073,雄順,Basic Materials,Steel,29.5,0.15,3.44,3.44,12.5,-0.6,306.04,0.63,-8.48,,46.83,87,73
5608,四維航,Industrials,Marine Shipping,18.15,10.17,-0.15,-0.17,11.83,-0.1,305.13,-0.59,-27.09,8.57,,87,31
2406,國碩,Technology,Solar,19.4,-3.2,4.0,4.0,1.09,3.8,302.57,-0.69,102.95,17.543,,87,96
4976,佳凌,Technology,Electronic Components,42.2,0.4,2.6,1.62,5.71,8.2,301.44,-1.1,-12.1,7.213,,87,68
2349,錸德,Technology,Computer Hardware,15.85,-1.0,4.75,1.27,2.0,8.0,298.89,-0.26,-22.62,11.246,,87,42
2064,晉椿,Basic Materials,Steel,16.1,3.0,1.07,0.52,2.75,8.0,296.94,-0.58,-9.16,21.809,,87,72
3645,達邁,Technology,Electronic Components,44.65,3.14,-0.64,-0.39,7.07,4.55,295.2,0.97,-7.36,14.485,44.85,87,75
2070,精湛,Industrials,Specialty Industrial Machinery,115.0,0.46,0.01,0.01,3.9,5.7,294.42,3.59,-1.64,19.149,29.39,87,82
5251,天鉞電,Technology,Electronic Components,28.6,1.5,7.83,0.12,4.73,,288.66,-1.51,44.31,6.894,,87,94
1409,新纖,Consumer Cyclical,Textile Manufacturing,15.95,0.23,-0.09,-0.08,1.08,10.0,283.52,0.81,-9.6,26.575,19.32,87,71
1466,聚隆,Consumer Cyclical,Textile Manufacturing,13.0,3.83,0.03,0.03,7.67,3.06,283.27,-0.37,-15.8,23.686,,87,60
1452,宏益,Consumer Cyclical,Textile Manufacturing,16.9,19.0,-14.0,5.5,5.0,,278.8,0.13,22.31,10.856,130.38,87,91
1516,川飛,Energy,Thermal Coal,18.75,-0.7,0.35,0.55,10.0,0.59,277.87,0.83,326.35,19.196,22.41,87,98
1454,台富,Consumer Cyclical,Textile Manufacturing,17.9,-0.78,0.6,1.5,-0.89,6.33,277.77,0.25,-17.6,12.865,72.0,87,56
2355,敬鵬,Technology,Electronic Components,39.8,0.04,-0.05,-0.05,1.07,6.45,274.6,3.07,-22.06,42.856,12.92,86,43
3054,立萬利,Healthcare,Drug Manufacturers - Specialty & Generic,22.3,3.75,0.32,0.24,3.75,-2.82,272.74,-0.09,3.44,0.824,,86,85
6693,廣閎科,Technology,Semiconductors,88.7,0.05,0.35,0.54,3.81,7.0,271.65,2.0,-25.47,21.093,45.5,86,35
8937,合騏,Consumer Cyclical,Recreational Vehicles,80.7,2.31,-0.75,-0.43,7.62,-1.25,270.73,1.12,-64.46,1.649,72.32,86,7
2739,寒舍,Consumer Cyclical,Lodging,54.9,1.12,0.12,0.13,7.95,1.02,269.72,8.87,-15.72,55.004,6.11,86,61
8182,加高,Technology,Scientific & Technical Instruments,35.6,-0.37,0.31,0.45,0.33,9.67,269.41,2.17,-22.1,27.057,16.59,86,43
6233,旺玖,Technology,Semiconductors,32.9,4.0,-2.25,-1.8,11.0,0.75,267.87,0.18,-24.75,4.531,178.61,86,36
6840,東研信超,Technology,Electronic Components,60.7,-0.33,7.62,7.62,6.71,3.04,256.14,-0.89,-9.45,28.269,,86,71
3284,太普高,Industrials,Specialty Industrial Machinery,36.25,0.66,0.52,1.06,1.77,6.14,255.61,1.65,12.12,10.217,24.15,86,89
6164,華興,Industrials,Electrical Equipment & Parts,13.5,0.29,0.4,0.67,3.57,2.56,255.61,0.23,-15.26,7.923,60.22,86,62
4739,康普,Basic Materials,Specialty Chemicals,58.4,0.07,2.46,2.46,8.6,2.16,254.99,0.43,-48.76,38.752,134.42,86,10
3673,TPK-KY,Technology,Electronic Components,43.1,2.0,0.23,0.31,9.87,0.16,251.01,1.34,-20.05,174.063,31.27,86,49
2033,佳大,Basic Materials,Steel,21.1,0.25,1.3,4.38,6.0,3.0,250.3,0.14,-31.67,7.054,146.43,86,22
2495,普安,Technology,Computer Hardware,34.05,0.27,-0.11,-0.1,7.14,0.73,249.66,1.57,-18.82,5.117,20.57,86,52
8401,白紗科,Industrials,Specialty Business Services,27.6,0.07,0.16,0.72,4.17,,249.08,1.48,-12.74,23.278,18.45,86,67
1220,台榮,Consumer Defensive,Packaged Foods,16.55,0.48,0.12,0.13,1.15,8.25,247.75,1.31,-25.28,19.167,12.33,86,35
1711,永光,Basic Materials,Specialty Chemicals,25.5,2.67,-0.17,-0.14,10.0,-0.17,247.01,0.35,-15.23,14.814,70.57,86,62
2537,聯上發,Real Estate,Real Estate - Development,16.45,5.14,1.8,2.25,8.17,2.57,244.29,0.49,337.58,5.278,32.24,86,98
6735,美達科技,Technology,Semiconductor Equipment & Materials,81.9,0.16,0.77,3.33,8.27,3.09,243.05,2.1,58.15,8.663,38.33,86,95
3230,錦明,Technology,Electronic Components,57.5,19.77,1.19,0.54,8.51,2.54,241.91,3.7,-97.12,10.307,15.27,85,4
6288,聯嘉,Technology,Electronic Components,27.9,-0.85,0.78,3.5,2.25,11.0,236.93,0.36,1.05,25.186,77.64,85,83
8411,福貞-KY,Consumer Cyclical,Packaging & Containers,14.6,3.17,-2.08,-1.92,2.25,1.5,235.38,0.33,-19.76,39.71,43.33,85,50
8426,紅木-KY,Consumer Cyclical,"Furnishings, Fixtures & Appliances",46.7,-2.14,-0.77,-0.43,-2.55,-0.62,234.47,5.56,-15.75,57.127,8.4,85,61
3060,銘異,Technology,Electronic Components,26.3,1.18,0.1,0.11,2.62,8.64,234.24,,0.74,23.117,,85,83
6418,詠昇,Technology,Electronic Components,22.3,0.36,-0.27,-0.21,-1.0,10.33,233.04,1.3,-23.97,24.211,17.04,85,39
6446,藥華藥,Healthcare,Drug Manufacturers—Specialty & Generic,642.0,1.09,0.2,0.25,4.37,3.44,231.69,4.06,77.34,20.925,153.94,85,96
2605,新興,Industrials,Marine Shipping,28.05,1.0,0.54,1.17,5.67,1.86,225.75,1.48,-9.32,7.841,18.48,85,72
8429,金麗-KY,Consumer Cyclical,Apparel Manufacturing,12.15,3.0,-1.06,-18.76,2.75,-3.0,225.45,-0.03,6.95,1.169,,85,87
2426,鼎元,Technology,Semiconductors,24.85,9.8,0.2,1.83,4.67,,223.18,-0.58,-10.16,7.842,,85,70
2477,美隆電,Technology,Consumer Electronics,29.85,7.14,-1.79,-0.64,6.12,5.57,218.86,1.12,-22.22,14.985,24.87,85,43
3057,喬鼎,Technology,Computer Hardware,12.35,-4.0,0.21,0.18,0.0,1.71,216.85,-1.43,-29.39,6.248,,85,27
