Ticker,Sector,Industry,Price,EPS QoQ (%),QoQ 2Q Algo (%),QoQ 3Q Algo (%),EPS YoY (%),YoY 2Q Algo (%),EPS RS,TTM EPS,Rev RS,TTM RPS,TTM PE,Rating (EPS RS),Rating (Rev RS)
HP,Energy,Oil & Gas Drilling,17.93,-165.0,-54.0,-0.36,-2.84,,1324.56,-0.33,37.36,34.592,,94,89
DRMA,Healthcare,Biotechnology,5.33,1.71,1.77,0.64,24.19,14.69,1319.17,20.96,-7.14,,0.26,94,31
DOOO,Consumer Cyclical,Recreational Vehicles,55.38,0.91,9.8,0.11,21.6,,1304.0,1.78,-12.3,104.88,32.8,94,19
RBRK,Technology,Software - Infrastructure,85.24,0.15,0.16,0.38,20.66,,1255.17,3.47,38.1,5.249,25.58,94,89
EGHT,Technology,Software - Application,1.82,-5.0,-5.0,6.5,1.67,37.0,1237.08,-0.16,-4.07,5.443,,94,42
PDM,Real Estate,REIT - Office,7.86,-0.75,2.0,-1.67,-0.75,,1232.02,-0.56,-7.68,4.554,,94,26
GPUS,Industrials,Aerospace & Defense,0.5796,-1.71,12.18,0.92,13.21,-3.41,1202.0,-28.33,86.89,24.812,,94,92
RYAAY,Industrials,Airlines,65.13,0.7,2.32,-22.58,1.44,33.94,1166.23,4.44,22.94,27.082,15.03,94,85
NABL,Technology,Information Technology Services,7.64,1.0,-3.0,-2.0,-3.5,,1157.43,0.01,3.56,2.576,798.0,94,64
RFIL,Industrials,Electrical Equipment & Parts,6.7,0.0,0.0,2.5,19.5,,1126.82,-0.14,6.56,6.949,,94,69
LXRX,Healthcare,Biotechnology,1.17,8.0,0.29,1.0,18.0,,1111.46,-0.32,1442.76,0.161,,94,95
NUWE,Healthcare,Medical Devices,5.29,-1.1,-64.86,-167.09,11.98,,1110.23,-313.92,-24.13,126.095,,94,12
EXTR,Technology,Communication Equipment,19.96,0.0,-1.0,2.33,15.0,17.67,1095.56,-0.06,6.22,8.615,,94,69
FOA,Financial Services,Credit Services,26.57,0.06,3.0,-2.43,16.05,,1089.9,6.93,-137.39,51.365,4.14,94,5
IBTA,Technology,Software - Application,27.07,3.5,-123.0,3.43,15.67,,1072.1,4.07,2.5,12.175,6.72,94,61
HCWB,Healthcare,Biotechnology,3.4719,1.23,0.6,0.25,16.99,,1043.67,-16.41,7468988888882630.0,0.68,,94,97
KEP,Utilities,Utilities - Regulated Electric,13.86,-1.05,1.04,-0.62,16.49,,1043.23,3.52,2.93,74616.414,4.04,94,62
ERNA,Healthcare,Biotechnology,1.52,2.69,15.9,0.94,24.15,7.2,1037.25,-17.76,-237777777777700.9,0.168,,94,3
FOSL,Consumer Cyclical,Footwear & Accessories,2.82,7.25,-1.36,3.29,17.25,,1009.64,-1.11,-24.71,20.326,,94,11
SARO,Industrials,Aerospace & Defense,26.87,0.11,0.59,1.43,12.0,18.94,981.21,0.4,6.05,17.835,68.08,94,68
NVFY,Consumer Cyclical,"Furnishings, Fixtures & Appliances",1.66,0.5,11.5,0.92,10.0,20.67,980.55,-0.68,-13.69,1.161,,94,18
RFL,Real Estate,Real Estate Services,1.45,0.0,0.95,-0.95,6.16,,961.64,-0.92,-3.57,0.029,,94,43
GNPX,Healthcare,Biotechnology,0.1438,0.53,1.87,0.65,16.65,13.85,961.39,0.85,-7.14,,0.2,94,31
GRAL,Healthcare,Diagnostics & Research,33.15,-0.03,-0.07,0.36,15.06,,954.8,-11.71,17.4,3.961,,94,82
PROP,Energy,Oil & Gas E&P,2.22,4.36,-0.67,-2.07,4.36,-2.88,942.87,-2.35,4.624102177777778e+17,3.209,,94,99
FIVN,Technology,Software - Infrastructure,25.51,0.0,-14.0,3.5,18.0,11.0,935.76,0.12,7.67,14.602,229.75,94,71
DYCQ,Financial Services,Shell Companies,11.5,-0.42,-0.3,-0.23,-1.62,4.0,889.57,0.25,-7.14,,46.0,94,31
ENTO,Healthcare,Biotechnology,2.03,0.33,0.55,0.36,17.38,-12.14,886.7,-11.97,-7.14,,,93,31
RTX,Industrials,Aerospace & Defense,156.32,0.08,0.04,0.01,14.5,,883.13,4.55,1.82,62.562,34.34,93,59
ECO,Industrials,Marine Shipping,26.82,1.15,-0.05,-0.1,-0.46,,870.52,2.09,-7.97,10.692,13.05,93,26
RERE,Consumer Cyclical,Internet Retail,4.65,-0.07,0.0,3.36,8.5,,844.17,0.12,23.65,77.288,37.92,93,85
SE,Consumer Cyclical,Internet Retail,179.6,0.0,0.66,0.58,5.18,18.0,841.59,1.95,24.82,33.14,95.14,93,85
PINS,Communication Services,Internet Content & Information,34.87,5.0,-273.0,53.8,5.0,,835.39,2.76,8.27,5.772,12.9,93,72
SINT,Healthcare,Medical Devices,3.29,0.42,2.2,0.69,2.84,6.95,816.44,-8.4,-180.83,1.135,,93,5
GME,Consumer Cyclical,Specialty Retail,22.56,-1.9,6.25,0.0,2.1,,810.66,0.53,-26.49,8.555,43.19,93,11
FUFU,Financial Services,Capital Markets,3.45,3.9,-0.54,-1.17,28.0,-3.3,808.26,0.28,6.84,2.352,13.5,93,70
SGN,Technology,Software - Application,1.48,0.15,4.3,0.81,9.9,16.31,794.8,-8.11,-138.62,0.245,,93,5
RGS,Consumer Cyclical,Personal Services,19.0,-31.9,10.14,0.89,11.0,6.65,780.78,37.87,-5.75,84.801,0.53,93,38
PBR,Energy,Oil & Gas Integrated,11.95,-0.24,3.13,-3.09,13.33,,779.66,2.14,-13.21,76.52,5.76,93,18
GORV,Consumer Cyclical,Auto & Truck Dealerships,3.6,-1.47,25.56,-0.74,13.47,,763.46,-129.7,-64.47,408.283,,93,6
FRPT,Consumer Defensive,Packaged Foods,60.45,2.31,-2.42,0.48,12.33,,760.49,0.66,11.86,21.453,94.88,93,77
ORN,Industrials,Engineering & Construction,6.59,3.0,-5.25,0.42,11.0,,754.28,0.33,0.88,21.997,21.12,93,57
LYFT,Technology,Software - Application,15.81,9.0,2.0,2.0,9.0,9.0,726.13,0.23,7.33,14.671,73.96,93,70
JG,Technology,Software - Infrastructure,9.39,0.0,2.0,-2.0,2.0,22.0,723.45,-0.17,16.66,56.807,,93,81
PSTV,Healthcare,Biotechnology,0.483,60.5,-0.53,-1.11,23.5,-0.59,712.95,-1.39,-7.14,0.329,,93,31
GTLB,Technology,Software - Infrastructure,44.18,-4.14,-1.57,1.25,0.59,,699.25,0.09,25.78,4.961,502.0,93,86
GWRE,Technology,Software - Application,213.11,2.22,-5.09,-0.82,8.86,,694.57,0.43,10.72,13.627,497.65,93,76
LVLU,Consumer Cyclical,Apparel Retail,4.1416,1.64,3.0,-3.75,2.63,,689.92,-17.87,-17.81,104.945,,93,14
PRGO,Healthcare,Drug Manufacturers - Specialty & Generic,23.43,-0.2,5.4,-1.13,12.17,,686.14,-0.43,-7.09,31.36,,93,35
NOG,Energy,Oil & Gas E&P,23.72,-0.38,0.96,-3.17,-0.35,,681.68,6.06,6.94,21.188,4.14,93,70
LEG,Consumer Cyclical,"Furnishings, Fixtures & Appliances",9.12,0.73,1.13,-2.2,12.55,,679.11,1.03,-13.28,30.734,9.38,93,18
EFXT,Energy,Oil & Gas Equipment & Services,9.72,1.58,0.57,-0.99,11.25,,663.19,1.04,10.28,18.8,9.49,93,75
SHOP,Technology,Software - Application,136.68,2.33,-2.9,0.56,4.38,,656.9,1.8,21.7,7.739,78.95,93,84
JRSH,Consumer Cyclical,Apparel Manufacturing,3.31,1.0,1500000.0,-5000000.0,4.67,17.67,618.42,0.07,-9.03,11.625,48.07,92,24
GDYN,Technology,Information Technology Services,8.01,1.0,-1.0,0.0,7.0,,615.05,0.2,14.0,4.779,40.5,92,79
FRSH,Technology,Software - Application,13.2,-1000000.0,7000000.0,0.43,6.0,,608.88,-0.18,12.86,2.604,,92,78
IHRT,Communication Services,Broadcasting,2.23,2.41,-9.6,2.26,11.04,,608.48,-2.41,-5.88,25.32,,92,37
JAGX,Healthcare,Biotechnology,1.82,0.63,0.29,0.22,5.48,4.22,606.68,37.53,-1.33,7.718,0.05,92,50
QLGN,Healthcare,Biotechnology,1.83,0.82,0.79,0.44,9.37,8.67,598.16,6.32,-6281916666666673.0,,0.29,92,2
LB,Energy,Oil & Gas Equipment & Services,53.05,0.11,1.56,-0.42,12.03,,582.38,0.77,63.56,7.477,70.25,92,91
LGND,Healthcare,Biotechnology,157.31,9.84,-0.35,-3.21,12.52,,580.62,-4.04,-2.38,9.884,,92,47
SBFM,Healthcare,Drug Manufacturers - Specialty & Generic,1.422,-16.73,0.57,0.36,-2.92,3.55,574.16,-15.02,249.36,14.633,,92,94
HUBS,Technology,Software - Application,455.97,6.0,-5.2,-0.6,3.67,,565.91,-0.24,14.63,54.801,,92,80
PRPO,Healthcare,Diagnostics & Research,14.5,12.8,-0.17,-0.2,17.6,1.47,565.4,-1.19,21.88,14.186,,92,84
PALI,Healthcare,Biotechnology,0.726,-0.23,1.97,0.66,4.72,8.77,555.94,-3.64,-7.14,,,92,31
RDZN,Technology,Software - Application,1.02,-0.11,-0.12,7.0,13.2,9.0,548.78,-0.38,37.83,0.648,,92,89
ELLO,Utilities,Utilities - Renewable,16.95,0.0,0.0,10.75,2.68,2.4,537.04,0.48,-3.35,3.197,36.04,92,44
NUVB,Healthcare,Biotechnology,2.74,-0.06,-0.07,0.0,10.12,,533.81,-0.38,8747777777777928.0,0.044,,92,97
MKTW,Financial Services,Financial Data & Stock Exchanges,17.6,0.28,-0.43,-0.3,-0.47,-1.09,524.85,2.88,-31.53,171.992,6.34,92,10
SEGG,Consumer Cyclical,Gambling,0.7225,4.76,0.83,-0.0,9.0,,523.96,-1.41,-95.16,0.05,,92,6
ENSC,Healthcare,Biotechnology,2.07,0.76,1.09,-3.76,3.24,,521.5,-3.51,-7.14,5.513,,92,31
IQ,Communication Services,Entertainment,2.35,0.0,0.0,2.0,-2.33,,516.1,0.01,-16.26,28.741,246.0,92,16
PUMP,Energy,Oil & Gas Equipment & Services,4.6,-2.29,2.89,6.76,-1.33,,509.58,-1.44,-6.69,13.199,,92,36
PEN,Healthcare,Medical Devices,251.37,0.13,0.16,0.16,2.35,,502.1,3.79,7.46,33.16,69.85,92,71
LINE,Real Estate,REIT - Industrial,39.09,-4.0,34.0,6.39,10.22,,499.97,-2.4,-1.77,23.732,,92,49
EDBL,Consumer Defensive,Farm Products,1.84,-1.66,3.19,0.57,3.56,,496.54,77.13,-27.56,11.585,0.02,92,10
ILMN,Healthcare,Diagnostics & Research,99.29,0.8,-0.41,-2.79,9.38,,495.39,7.9,-10.87,27.028,12.89,92,21
OM,Healthcare,Medical Devices,13.67,2.52,1.01,0.12,8.58,,486.25,-18.75,3.87,14.987,,92,64
